product_type,year,month,export_volume
Fruit juices ,2021,January,43.852
Fruit juices ,2021,February,40.2517
Fruit juices ,2021,March,47.2309
Fruit juices ,2021,April,46.2381
Fruit juices ,2021,May,44.6959
Fruit juices ,2021,June,44.2252
Fruit juices ,2021,July,41.3178
Fruit juices ,2021,August,41.5736
Fruit juices ,2021,September,38.4496
"Vegetables, fresh",2021,January,191.6013
"Vegetables, fresh",2021,February,180.2024
"Vegetables, fresh",2021,March,226.063
"Vegetables, fresh",2021,April,230.3684
"Vegetables, fresh",2021,May,252.3667
"Vegetables, fresh",2021,June,244.3284
"Vegetables, fresh",2021,July,231.3751
"Vegetables, fresh",2021,August,173.9726
"Vegetables, fresh",2021,September,162.1048
"Vegetables, prepared or preserved",2021,January,245.347
"Vegetables, prepared or preserved",2021,February,217.6449
"Vegetables, prepared or preserved",2021,March,281.1171
"Vegetables, prepared or preserved",2021,April,295.9457
"Vegetables, prepared or preserved",2021,May,260.8924
"Vegetables, prepared or preserved",2021,June,224.1971
"Vegetables, prepared or preserved",2021,July,229.1407
"Vegetables, prepared or preserved",2021,August,201.1085
"Vegetables, prepared or preserved",2021,September,206.9729
Nuts and preparations,2021,January,149.3582
Nuts and preparations,2021,February,175.6762
Nuts and preparations,2021,March,184.8328
Nuts and preparations,2021,April,172.0859
Nuts and preparations,2021,May,156.9922
Nuts and preparations,2021,June,138.5221
Nuts and preparations,2021,July,143.8163
Nuts and preparations,2021,August,132.2722
Nuts and preparations,2021,September,142.4117
Cotton and linters,2021,January,352.6592
Cotton and linters,2021,February,343.2004
Cotton and linters,2021,March,358.3883
Cotton and linters,2021,April,346.6065
Cotton and linters,2021,May,357.5914
Cotton and linters,2021,June,264.3801
Cotton and linters,2021,July,241.1835
Cotton and linters,2021,August,210.8877
Cotton and linters,2021,September,123.1394
Major bulk,2021,January,18115.6479
Major bulk,2021,February,13955.8333
Major bulk,2021,March,15401.192
Major bulk,2021,April,14295.5679
Major bulk,2021,May,13493.5873
Major bulk,2021,June,10062.466
Major bulk,2021,July,9435.5669
Major bulk,2021,August,8191.0453
Major bulk,2021,September,7615.393
Red meats and products,2020,December,484.6536
Poultry meats,2020,December,301.7908
Nonfat dry milk,2020,December,61.8612
Wheat,2020,December,1945.896
Rice,2020,December,449.7411
Coarse grains,2020,December,5499.938
Corn,2020,December,4617.542
Sorghum,2020,December,854.186
Soybeans,2020,December,10817.6915
Oil meal,2020,December,1316.9073
Vegetable oils ,2020,December,232.348
"Fruits, fresh",2020,December,190.4311
"Fruits, prepared or preserved",2020,December,43.2086
Fruit juices ,2020,December,41.034
"Vegetables, fresh",2020,December,183.9058
"Vegetables, prepared or preserved",2020,December,261.9839
Nuts and preparations,2020,December,219.8232
Cotton and linters,2020,December,311.6047
Major bulk,2020,December,19029.2338
