"product","year","month","country","value"
"Fruits, prepared or preserved","2018","October","Thailand",31.932
"Fruits, prepared or preserved","2018","October","Canada",22.81
"Fruits, prepared or preserved","2018","October","European Union-28 3/",21.577
"Fruits, prepared or preserved","2018","October","Philippines",12.849
"Fruits, prepared or preserved","2018","October","Chile",14.656
"Fruits, prepared or preserved","2018","October","South Korea",8.292
"Fruits, prepared or preserved","2018","October","Turkey",9.058
"Fruits, prepared or preserved","2018","October","Ecuador",6.413
"Fruits, prepared or preserved","2018","October","World",287.019
"Fruits, prepared or preserved","2018","November","Mexico",50.582
"Fruits, prepared or preserved","2018","November","China",49.611
"Fruits, prepared or preserved","2018","November","Thailand",23.205
"Fruits, prepared or preserved","2018","November","Canada",20.907
"Fruits, prepared or preserved","2018","November","European Union-28 3/",18.633
"Fruits, prepared or preserved","2018","November","Philippines",10.952
"Fruits, prepared or preserved","2018","November","Chile",15.016
"Fruits, prepared or preserved","2018","November","South Korea",9.558
"Fruits, prepared or preserved","2018","November","Turkey",8.244
"Fruits, prepared or preserved","2018","November","Ecuador",6.284
"Fruits, prepared or preserved","2018","November","World",265.296
"Fruits, prepared or preserved","2018","December","Mexico",50.582
"Fruits, prepared or preserved","2018","December","China",49.611
"Fruits, prepared or preserved","2018","December","Thailand",23.205
"Fruits, prepared or preserved","2018","December","Canada",20.907
"Fruits, prepared or preserved","2018","December","European Union-28 3/",18.633
"Fruits, prepared or preserved","2018","December","Philippines",10.952
"Fruits, prepared or preserved","2018","December","Chile",15.016
"Fruits, prepared or preserved","2018","December","South Korea",9.558
"Fruits, prepared or preserved","2018","December","Turkey",8.244
"Fruits, prepared or preserved","2018","December","Ecuador",6.284
"Fruits, prepared or preserved","2018","December","World",265.296
"Vegetables, fresh or frozen","2018","January","Mexico",50.939
"Vegetables, fresh or frozen","2018","January","Canada",87.741
"Vegetables, fresh or frozen","2018","January","Peru",2.973
"Vegetables, fresh or frozen","2018","January","European Union-28 3/",19.296
"Vegetables, fresh or frozen","2018","January","China",9.796
"Vegetables, fresh or frozen","2018","January","Guatemala",3.916
"Vegetables, fresh or frozen","2018","January","Costa Rica",2.172
"Vegetables, fresh or frozen","2018","January","Honduras",1.354
"Vegetables, fresh or frozen","2018","January","Dominican Republic",0.192
"Vegetables, fresh or frozen","2018","January","Ecuador",3.293
"Vegetables, fresh or frozen","2018","January","World",191.566
"Vegetables, fresh or frozen","2018","February","Mexico",713.204
"Vegetables, fresh or frozen","2018","February","Canada",138.71
"Vegetables, fresh or frozen","2018","February","Peru",7.949
"Vegetables, fresh or frozen","2018","February","European Union-28 3/",25.955
"Vegetables, fresh or frozen","2018","February","China",18.133
"Vegetables, fresh or frozen","2018","February","Guatemala",20.258
"Vegetables, fresh or frozen","2018","February","Costa Rica",9.48
"Vegetables, fresh or frozen","2018","February","Ecuador",5.656
"Vegetables, fresh or frozen","2018","February","Honduras",7.604
"Vegetables, fresh or frozen","2018","February","Dominican Republic",4.026
"Vegetables, fresh or frozen","2018","February","World",971.541
"Vegetables, fresh or frozen","2018","March","Mexico",767.573
"Vegetables, fresh or frozen","2018","March","Canada",178.631
"Vegetables, fresh or frozen","2018","March","Peru",9.397
"Vegetables, fresh or frozen","2018","March","European Union-28 3/",24.141
"Vegetables, fresh or frozen","2018","March","China",17.003
"Vegetables, fresh or frozen","2018","March","Guatemala",25.581
"Vegetables, fresh or frozen","2018","March","Costa Rica",8.447
"Vegetables, fresh or frozen","2018","March","Honduras",7.553
"Vegetables, fresh or frozen","2018","March","Ecuador",5.431
"Vegetables, fresh or frozen","2018","March","Dominican Republic",3.844
"Vegetables, fresh or frozen","2018","March","World",1070.853
"Vegetables, fresh or frozen","2018","April","Mexico",585.544
"Vegetables, fresh or frozen","2018","April","Canada",204.356
"Vegetables, fresh or frozen","2018","April","Peru",14.606
"Vegetables, fresh or frozen","2018","April","European Union-28 3/",29.932
"Vegetables, fresh or frozen","2018","April","China",19.271
"Vegetables, fresh or frozen","2018","April","Guatemala",19.005
"Vegetables, fresh or frozen","2018","April","Costa Rica",6.63
"Vegetables, fresh or frozen","2018","April","Honduras",5.15
"Vegetables, fresh or frozen","2018","April","Ecuador",4.341
"Vegetables, fresh or frozen","2018","April","Dominican Republic",4.219
"Vegetables, fresh or frozen","2018","April","World",912.925
"Vegetables, fresh or frozen","2018","May","Mexico",509.689
"Vegetables, fresh or frozen","2018","May","Canada",237.673
"Vegetables, fresh or frozen","2018","May","Peru",23.09
"Vegetables, fresh or frozen","2018","May","European Union-28 3/",30.225
"Vegetables, fresh or frozen","2018","May","China",20.439
"Vegetables, fresh or frozen","2018","May","Guatemala",16.704
"Vegetables, fresh or frozen","2018","May","Costa Rica",6.931
"Vegetables, fresh or frozen","2018","May","Honduras",4.997
"Vegetables, fresh or frozen","2018","May","Ecuador",5.253
"Vegetables, fresh or frozen","2018","May","Dominican Republic",4.3
"Vegetables, fresh or frozen","2018","May","World",878.667
"Vegetables, fresh or frozen","2018","June","Mexico",382.831
"Vegetables, fresh or frozen","2018","June","Canada",253.145
"Vegetables, fresh or frozen","2018","June","European Union-28 3/",33.504
"Vegetables, fresh or frozen","2018","June","Peru",17.439
"Vegetables, fresh or frozen","2018","June","China",18.132
"Vegetables, fresh or frozen","2018","June","Guatemala",11.978
"Vegetables, fresh or frozen","2018","June","Costa Rica",7.202
"Vegetables, fresh or frozen","2018","June","Honduras",4.81
"Vegetables, fresh or frozen","2018","June","Ecuador",5.642
"Vegetables, fresh or frozen","2018","June","Dominican Republic",4.33
"Vegetables, fresh or frozen","2018","June","World",757.139
"Vegetables, fresh or frozen","2018","July","Mexico",325.632
"Vegetables, fresh or frozen","2018","July","Canada",274.263
"Vegetables, fresh or frozen","2018","July","European Union-28 3/",41.775
"Vegetables, fresh or frozen","2018","July","Peru",21.403
"Vegetables, fresh or frozen","2018","July","China",17.846
"Vegetables, fresh or frozen","2018","July","Guatemala",14.816
"Vegetables, fresh or frozen","2018","July","Costa Rica",7.095
"Vegetables, fresh or frozen","2018","July","Honduras",4.679
"Vegetables, fresh or frozen","2018","July","Ecuador",4.886
"Vegetables, fresh or frozen","2018","July","Dominican Republic",3.815
"Vegetables, fresh or frozen","2018","July","World",735.597
"Vegetables, fresh or frozen","2018","August","Mexico",314.61
"Vegetables, fresh or frozen","2018","August","Canada",281.843
"Vegetables, fresh or frozen","2018","August","European Union-28 3/",33.837
"Vegetables, fresh or frozen","2018","August","Peru",31.556
"Vegetables, fresh or frozen","2018","August","China",18.698
"Vegetables, fresh or frozen","2018","August","Guatemala",17.869
"Vegetables, fresh or frozen","2018","August","Costa Rica",8.349
"Vegetables, fresh or frozen","2018","August","Honduras",4.725
"Vegetables, fresh or frozen","2018","August","Ecuador",5.751
"Vegetables, fresh or frozen","2018","August","Dominican Republic",3.416
"Vegetables, fresh or frozen","2018","August","World",739.529
"Vegetables, fresh or frozen","2018","September","Mexico",313.929
"Vegetables, fresh or frozen","2018","September","Canada",265.534
"Vegetables, fresh or frozen","2018","September","European Union-28 3/",33.629
"Vegetables, fresh or frozen","2018","September","Peru",39.958
"Vegetables, fresh or frozen","2018","September","China",17.702
"Vegetables, fresh or frozen","2018","September","Guatemala",15.271
"Vegetables, fresh or frozen","2018","September","Costa Rica",6.942
"Vegetables, fresh or frozen","2018","September","Ecuador",5.891
"Vegetables, fresh or frozen","2018","September","Honduras",3.635
"Vegetables, fresh or frozen","2018","September","Dominican Republic",2.991
"Vegetables, fresh or frozen","2018","September","World",722.494
"Vegetables, fresh or frozen","2018","October","Mexico",460.995
"Vegetables, fresh or frozen","2018","October","Canada",247.814
"Vegetables, fresh or frozen","2018","October","European Union-28 3/",39.608
"Vegetables, fresh or frozen","2018","October","Peru",45.062
"Vegetables, fresh or frozen","2018","October","China",17.707
"Vegetables, fresh or frozen","2018","October","Guatemala",17.193
"Vegetables, fresh or frozen","2018","October","Costa Rica",11.608
"Vegetables, fresh or frozen","2018","October","Ecuador",6.921
"Vegetables, fresh or frozen","2018","October","Honduras",3.813
"Vegetables, fresh or frozen","2018","October","Dominican Republic",4.206
"Vegetables, fresh or frozen","2018","October","World",874.789
"Vegetables, fresh or frozen","2018","November","Mexico",538.658
"Vegetables, fresh or frozen","2018","November","Canada",202.309
"Vegetables, fresh or frozen","2018","November","European Union-28 3/",31.917
"Vegetables, fresh or frozen","2018","November","Peru",48.534
"Vegetables, fresh or frozen","2018","November","China",17.533
"Vegetables, fresh or frozen","2018","November","Guatemala",21.727
"Vegetables, fresh or frozen","2018","November","Costa Rica",9.835
"Vegetables, fresh or frozen","2018","November","Ecuador",7.669
"Vegetables, fresh or frozen","2018","November","Honduras",6.023
"Vegetables, fresh or frozen","2018","November","Dominican Republic",4.549
"Vegetables, fresh or frozen","2018","November","World",910.669
"Vegetables, fresh or frozen","2018","December","Mexico",677.023
"Vegetables, fresh or frozen","2018","December","Canada",159.827
"Vegetables, fresh or frozen","2018","December","European Union-28 3/",37.018
"Vegetables, fresh or frozen","2018","December","Peru",46.528
"Vegetables, fresh or frozen","2018","December","China",20.354
"Vegetables, fresh or frozen","2018","December","Guatemala",20.896
"Vegetables, fresh or frozen","2018","December","Costa Rica",9.603
"Vegetables, fresh or frozen","2018","December","Ecuador",7.239
"Vegetables, fresh or frozen","2018","December","Honduras",6.497
"Vegetables, fresh or frozen","2018","December","Dominican Republic",4.663
"Vegetables, fresh or frozen","2018","December","World",1014.069
"Vegetables, prepared or preserved","2018","January","European Union-28 3/",75.455
"Vegetables, prepared or preserved","2018","January","China",46.753
"Vegetables, prepared or preserved","2018","January","Mexico",35.284
"Vegetables, prepared or preserved","2018","January","Canada",29.724
"Vegetables, prepared or preserved","2018","January","Peru",24.215
"Vegetables, prepared or preserved","2018","January","Thailand",12.725
"Vegetables, prepared or preserved","2018","January","India",7.744
"Vegetables, prepared or preserved","2018","January","Turkey",7.65
"Vegetables, prepared or preserved","2018","January","Chile",2.761
"Vegetables, prepared or preserved","2018","January","Japan",3.81
"Vegetables, prepared or preserved","2018","January","World",280.458
"Vegetables, prepared or preserved","2018","February","European Union-28 3/",78.311
"Vegetables, prepared or preserved","2018","February","China",38.58
"Vegetables, prepared or preserved","2018","February","Mexico",39.161
"Vegetables, prepared or preserved","2018","February","Canada",26.703
"Vegetables, prepared or preserved","2018","February","Peru",19.873
"Vegetables, prepared or preserved","2018","February","Thailand",10.194
"Vegetables, prepared or preserved","2018","February","India",6.764
"Vegetables, prepared or preserved","2018","February","Turkey",4.894
"Vegetables, prepared or preserved","2018","February","Japan",4.726
"Vegetables, prepared or preserved","2018","February","Chile",2.979
"Vegetables, prepared or preserved","2018","February","World",262.87
"Vegetables, prepared or preserved","2018","March","European Union-28 3/",84.612
"Vegetables, prepared or preserved","2018","March","China",38.449
"Vegetables, prepared or preserved","2018","March","Mexico",41.737
"Vegetables, prepared or preserved","2018","March","Canada",31.047
"Vegetables, prepared or preserved","2018","March","Peru",22.673
"Vegetables, prepared or preserved","2018","March","Thailand",12.301
"Vegetables, prepared or preserved","2018","March","India",13.082
"Vegetables, prepared or preserved","2018","March","Turkey",6.842
"Vegetables, prepared or preserved","2018","March","Japan",4.755
"Vegetables, prepared or preserved","2018","March","Chile",4.651
"Vegetables, prepared or preserved","2018","March","World",291.323
"Vegetables, prepared or preserved","2018","April","European Union-28 3/",88.013
"Vegetables, prepared or preserved","2018","April","China",38.172
"Vegetables, prepared or preserved","2018","April","Mexico",43.023
"Vegetables, prepared or preserved","2018","April","Canada",33.104
"Vegetables, prepared or preserved","2018","April","Peru",12.833
